"Table generated on 04/16/2019"

Name,Year,"Percent of graduates with debt","Average debt of graduates","Per capita debt of graduates","Full-time freshmen who received any student loans (#)","% of full-time freshmen who received any student loans","Average amount of student loans received by full-time freshmen who borrowed","Tuition and fees (in-district/in-state)","Graduation rate (within 150% of normal time)"
"Alaska - Total",2016-17,0.46,25682,11814,N/A,N/A,N/A,6275,N/A
"Alaska - Total",2015-16,0.49,26008,12744,1715,0.44,7619,8793,0.4
"Alaska - Total",2014-15,0.55,26171,14367,1391,0.39,6590,7759,0.39
"Alaska - Total",2013-14,0.5,26742,13434,1929,0.45,7358,9818,0.4
"Alaska - Total",2012-13,0.49,28570,14071,1314,0.35,5279,9732,0.4
"Alaska - Total",2011-12,0.49,28782,14000,1862,0.46,7034,8545,0.41
"Alaska - Total",2010-11,N/A,N/A,N/A,1673,0.41,6681,10155,0.4
"Alaska - Total",2009-10,N/A,N/A,N/A,1614,0.43,6699,6472,0.42
"Alaska - Public",2016-17,0.46,25682,11814,N/A,N/A,N/A,5988,N/A
"Alaska - Public",2015-16,0.49,26310,12892,629,0.25,5367,5614,0.32
"Alaska - Public",2014-15,0.55,26986,14726,714,0.27,5707,5423,0.3
"Alaska - Public",2013-14,0.5,27728,13775,798,0.28,5639,5108,0.33
"Alaska - Public",2012-13,0.49,29467,14429,870,0.3,5365,5758,0.37
"Alaska - Public",2011-12,0.47,30164,14245,1012,0.34,5628,5429,0.35
"Alaska - Public",2010-11,N/A,N/A,N/A,1041,0.35,6094,5219,0.32
"Alaska - Public",2009-10,N/A,N/A,N/A,1036,0.36,6403,4966,0.37
"Alaska - Private, nonprofit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,14262,N/A
"Alaska - Private, nonprofit",2015-16,0.73,8922,6513,41,0.64,6322,14941,0.32
"Alaska - Private, nonprofit",2014-15,0.63,8922,5621,37,0.63,6295,11674,0.42
"Alaska - Private, nonprofit",2013-14,0.63,8922,5621,37,0.64,6343,19019,0.5
"Alaska - Private, nonprofit",2012-13,0.56,9757,5464,31,0.56,3609,18415,0.25
"Alaska - Private, nonprofit",2011-12,N/A,N/A,N/A,19,0.45,3259,16066,0.41
"Alaska - Private, nonprofit",2010-11,N/A,N/A,N/A,37,0.46,3998,18337,0.4
"Alaska - Private, nonprofit",2009-10,0.55,31000,17050,42,0.58,6094,16818,0.29
"Alaska - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Alaska - Private, for-profit",2015-16,N/A,N/A,N/A,1045,0.79,9025,20137,0.53
"Alaska - Private, for-profit",2014-15,N/A,N/A,N/A,640,0.79,7593,19532,0.53
"Alaska - Private, for-profit",2013-14,N/A,N/A,N/A,1094,0.78,8645,19882,0.55
"Alaska - Private, for-profit",2012-13,N/A,N/A,N/A,413,0.56,5222,19700,0.47
"Alaska - Private, for-profit",2011-12,N/A,N/A,N/A,831,0.85,8832,17725,0.6
"Alaska - Private, for-profit",2010-11,N/A,N/A,N/A,595,0.57,7874,17750,0.77
"Alaska - Private, for-profit",2009-10,N/A,N/A,N/A,536,0.69,7320,17750,0.77
"Alabama - Total",2016-17,0.5,31899,15950,N/A,N/A,N/A,9245,N/A
"Alabama - Total",2015-16,0.5,31275,15638,19631,0.43,7345,9055,0.39
"Alabama - Total",2014-15,0.52,29153,15129,20243,0.44,6983,8690,0.38
"Alabama - Total",2013-14,0.54,29425,15903,19757,0.44,7038,8439,0.36
"Alabama - Total",2012-13,0.54,28895,15661,20436,0.44,6874,8050,0.36
"Alabama - Total",2011-12,0.53,26450,14074,20261,0.44,6445,7519,0.37
"Alabama - Total",2010-11,0.54,25463,13651,20724,0.43,7077,6968,0.37
"Alabama - Total",2009-10,0.56,24821,14017,20336,0.4,6851,6290,0.37
"Alabama - Public",2016-17,0.5,32307,16153,N/A,N/A,N/A,7672,N/A
"Alabama - Public",2015-16,0.48,31612,15174,15255,0.39,7425,7403,0.39
"Alabama - Public",2014-15,0.49,29439,14571,14948,0.39,7068,7033,0.37
"Alabama - Public",2013-14,0.51,29706,15280,14360,0.38,6915,6718,0.35
"Alabama - Public",2012-13,0.53,28994,15365,14620,0.38,6835,6444,0.33
"Alabama - Public",2011-12,0.5,26544,13176,14817,0.39,6183,5982,0.34
"Alabama - Public",2010-11,0.51,25920,13240,13707,0.35,6872,5307,0.35
"Alabama - Public",2009-10,0.55,25388,13949,12875,0.33,6740,4599,0.34
"Alabama - Private, nonprofit",2016-17,0.6,28696,17217,N/A,N/A,N/A,22779,N/A
"Alabama - Private, nonprofit",2015-16,0.58,29327,17009,3035,0.63,6506,21440,0.49
"Alabama - Private, nonprofit",2014-15,0.66,27876,18465,3585,0.71,6130,20361,0.47
"Alabama - Private, nonprofit",2013-14,0.7,28166,19710,3305,0.68,6935,19856,0.45
"Alabama - Private, nonprofit",2012-13,0.63,28267,17892,3525,0.7,6973,18748,0.46
"Alabama - Private, nonprofit",2011-12,0.75,26067,19565,3264,0.65,6756,17798,0.46
"Alabama - Private, nonprofit",2010-11,0.69,23435,16109,3504,0.72,7149,16902,0.45
"Alabama - Private, nonprofit",2009-10,0.64,22383,14359,3408,0.65,6835,16787,0.45
"Alabama - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,11737,N/A
"Alabama - Private, for-profit",2015-16,N/A,N/A,N/A,1341,0.79,8344,12797,0.26
"Alabama - Private, for-profit",2014-15,N/A,N/A,N/A,1710,0.8,8033,12490,0.35
"Alabama - Private, for-profit",2013-14,N/A,N/A,N/A,2092,0.8,8046,12124,0.42
"Alabama - Private, for-profit",2012-13,N/A,N/A,N/A,2291,0.73,6968,12742,0.5
"Alabama - Private, for-profit",2011-12,N/A,N/A,N/A,2180,0.81,7757,13489,0.52
"Alabama - Private, for-profit",2010-11,N/A,N/A,N/A,3513,0.89,7802,16744,0.52
"Alabama - Private, for-profit",2009-10,N/A,N/A,N/A,4053,0.68,7218,15217,0.47
"Arkansas - Total",2016-17,0.55,26799,14740,N/A,N/A,N/A,8482,N/A
"Arkansas - Total",2015-16,0.56,26859,15041,12530,0.47,6071,8247,0.4
"Arkansas - Total",2014-15,0.57,26734,15213,13058,0.48,5959,7812,0.39
"Arkansas - Total",2013-14,0.55,25779,14294,12966,0.46,6176,7377,0.39
"Arkansas - Total",2012-13,0.56,25404,14231,12573,0.45,5868,6957,0.38
"Arkansas - Total",2011-12,0.55,23327,12736,14090,0.49,5815,6859,0.38
"Arkansas - Total",2010-11,0.56,23048,12869,12946,0.45,5650,6543,0.38
"Arkansas - Total",2009-10,0.57,21408,12270,13463,0.47,5790,6165,0.37
"Arkansas - Public",2016-17,0.52,25136,13071,N/A,N/A,N/A,6426,N/A
"Arkansas - Public",2015-16,0.49,24647,12077,8848,0.41,5950,6152,0.37
"Arkansas - Public",2014-15,0.55,26069,14248,8936,0.41,5797,5857,0.35
"Arkansas - Public",2013-14,0.54,25512,13824,9094,0.41,5800,5409,0.35
"Arkansas - Public",2012-13,0.54,25257,13749,9006,0.39,5505,5226,0.33
"Arkansas - Public",2011-12,0.53,21514,11306,9784,0.43,5532,4970,0.33
"Arkansas - Public",2010-11,0.54,21413,11481,8486,0.38,5247,4702,0.34
"Arkansas - Public",2009-10,0.54,19562,10608,8639,0.4,5468,4290,0.33
"Arkansas - Private, nonprofit",2016-17,0.65,30120,19578,N/A,N/A,N/A,20403,N/A
"Arkansas - Private, nonprofit",2015-16,0.74,30507,22575,2370,0.68,6751,21023,0.52
"Arkansas - Private, nonprofit",2014-15,0.64,28570,18345,2320,0.67,6700,19817,0.55
"Arkansas - Private, nonprofit",2013-14,0.6,26573,15830,2166,0.63,7097,19653,0.56
"Arkansas - Private, nonprofit",2012-13,0.6,25773,15577,2041,0.62,6845,18452,0.54
"Arkansas - Private, nonprofit",2011-12,0.61,28069,17064,2377,0.66,6145,17727,0.6
"Arkansas - Private, nonprofit",2010-11,0.62,26849,16586,2195,0.63,6229,16791,0.56
"Arkansas - Private, nonprofit",2009-10,0.65,25087,16216,1833,0.58,5792,16540,0.56
"Arkansas - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,15397,N/A
"Arkansas - Private, for-profit",2015-16,N/A,N/A,N/A,1312,0.78,5659,17488,0.49
"Arkansas - Private, for-profit",2014-15,N/A,N/A,N/A,1802,0.77,5808,17464,0.43
"Arkansas - Private, for-profit",2013-14,N/A,N/A,N/A,1706,0.69,7015,15038,0.48
