"Table generated on 04/16/2019"

Name,Year,"Percent of graduates with debt","Average debt of graduates","Per capita debt of graduates","Full-time freshmen who received any student loans (#)","% of full-time freshmen who received any student loans","Average amount of student loans received by full-time freshmen who borrowed","Tuition and fees (in-district/in-state)","Graduation rate (within 150% of normal time)"
"Colorado - Total",2016-17,0.52,26530,13795,N/A,N/A,N/A,11857,N/A
"Colorado - Total",2015-16,0.53,26520,14056,20190,0.49,6836,11619,0.5
"Colorado - Total",2014-15,0.56,25840,14554,20895,0.5,6903,11159,0.5
"Colorado - Total",2013-14,0.56,25064,14108,22709,0.52,7211,10475,0.49
"Colorado - Total",2012-13,0.56,24608,13742,23599,0.53,7265,9542,0.49
"Colorado - Total",2011-12,0.52,24540,12761,26252,0.57,6708,9217,0.5
"Colorado - Total",2010-11,0.54,22283,12132,28308,0.58,6999,8658,0.49
"Colorado - Total",2009-10,0.55,22017,12096,31245,0.59,7545,8635,0.5
"Colorado - Public",2016-17,0.53,26351,13966,N/A,N/A,N/A,8785,N/A
"Colorado - Public",2015-16,0.54,26396,14254,12590,0.42,6579,8354,0.49
"Colorado - Public",2014-15,0.57,25515,14552,12419,0.43,6442,7942,0.49
"Colorado - Public",2013-14,0.57,24741,14026,12816,0.44,6606,7435,0.48
"Colorado - Public",2012-13,0.56,24067,13489,13464,0.46,6442,6635,0.46
"Colorado - Public",2011-12,0.52,23987,12579,14591,0.48,6285,6317,0.46
"Colorado - Public",2010-11,0.56,22054,12313,14558,0.46,6178,5600,0.46
"Colorado - Public",2009-10,0.55,21192,11746,14258,0.47,5942,5009,0.47
"Colorado - Private, nonprofit",2016-17,0.47,28047,13182,N/A,N/A,N/A,40615,N/A
"Colorado - Private, nonprofit",2015-16,0.47,27645,12993,1695,0.5,7349,39117,0.62
"Colorado - Private, nonprofit",2014-15,0.51,28519,14568,1681,0.51,7915,37167,0.58
"Colorado - Private, nonprofit",2013-14,0.53,27615,14717,1739,0.5,8762,35627,0.58
"Colorado - Private, nonprofit",2012-13,0.54,28506,15505,1486,0.51,7501,33572,0.68
"Colorado - Private, nonprofit",2011-12,0.49,27958,13817,1563,0.51,7294,32882,0.69
"Colorado - Private, nonprofit",2010-11,0.42,24896,10564,1484,0.49,7013,32158,0.7
"Colorado - Private, nonprofit",2009-10,0.52,27176,14153,1383,0.42,6565,30629,0.7
"Colorado - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,11685,N/A
"Colorado - Private, for-profit",2015-16,N/A,N/A,N/A,5905,0.69,7235,12713,0.51
"Colorado - Private, for-profit",2014-15,N/A,N/A,N/A,6795,0.73,7497,12868,0.51
"Colorado - Private, for-profit",2013-14,N/A,N/A,N/A,8154,0.73,7830,12584,0.5
"Colorado - Private, for-profit",2012-13,N/A,N/A,N/A,8649,0.71,8506,13410,0.49
"Colorado - Private, for-profit",2011-12,N/A,N/A,N/A,10098,0.79,7228,13315,0.55
"Colorado - Private, for-profit",2010-11,N/A,N/A,N/A,12266,0.83,7972,12555,0.52
"Colorado - Private, for-profit",2009-10,N/A,N/A,N/A,15604,0.84,9096,12673,0.55
"Connecticut - Total",2016-17,0.57,38510,21951,N/A,N/A,N/A,22857,N/A
"Connecticut - Total",2015-16,0.6,35494,21297,16719,0.52,8162,21913,0.57
"Connecticut - Total",2014-15,0.64,34773,22323,17337,0.53,7995,20911,0.56
"Connecticut - Total",2013-14,0.62,29750,18490,17845,0.53,8433,20241,0.55
"Connecticut - Total",2012-13,0.64,30183,19417,17817,0.52,7974,19268,0.54
