"Table generated on 04/16/2019"

Name,Year,"Percent of graduates with debt","Average debt of graduates","Per capita debt of graduates","Full-time freshmen who received any student loans (#)","% of full-time freshmen who received any student loans","Average amount of student loans received by full-time freshmen who borrowed","Tuition and fees (in-district/in-state)","Graduation rate (within 150% of normal time)"
"Florida - Total",2016-17,0.5,24041,12021,N/A,N/A,N/A,9923,N/A
"Florida - Total",2015-16,0.52,24461,12720,84269,0.46,7060,9489,0.52
"Florida - Total",2014-15,0.53,23490,12466,74313,0.41,6896,9355,0.52
"Florida - Total",2013-14,0.54,24947,13544,76979,0.42,7001,9211,0.53
"Florida - Total",2012-13,0.53,24018,12786,93951,0.49,6750,9152,0.53
"Florida - Total",2011-12,0.51,22873,11689,101712,0.5,6680,8549,0.55
"Florida - Total",2010-11,0.51,23054,11686,98884,0.49,7114,8156,0.54
"Florida - Total",2009-10,0.5,21184,10503,123351,0.52,7686,8065,0.53
"Florida - Public",2016-17,0.48,21626,10381,N/A,N/A,N/A,4360,N/A
"Florida - Public",2015-16,0.51,22879,11668,25491,0.24,5638,4327,0.5
"Florida - Public",2014-15,0.51,21639,11099,28963,0.28,5486,4342,0.5
"Florida - Public",2013-14,0.52,22947,11979,29261,0.28,5204,4269,0.51
"Florida - Public",2012-13,0.51,22067,11196,28434,0.28,5470,4218,0.49
"Florida - Public",2011-12,0.49,20554,9979,28645,0.26,5411,3879,0.5
"Florida - Public",2010-11,0.47,20221,9518,28182,0.26,4986,3550,0.49
"Florida - Public",2009-10,0.45,19114,8627,24807,0.23,4741,3172,0.48
"Florida - Private, nonprofit",2016-17,0.59,31306,18470,N/A,N/A,N/A,27899,N/A
"Florida - Private, nonprofit",2015-16,0.57,30099,17157,38389,0.8,7483,27343,0.52
"Florida - Private, nonprofit",2014-15,0.6,29718,17852,14238,0.66,7783,27207,0.53
"Florida - Private, nonprofit",2013-14,0.61,30538,18671,13458,0.67,8197,26532,0.54
"Florida - Private, nonprofit",2012-13,0.63,30044,18860,13547,0.67,8229,25436,0.55
"Florida - Private, nonprofit",2011-12,0.61,29990,18277,13252,0.66,8160,24664,0.55
"Florida - Private, nonprofit",2010-11,0.64,30501,19382,11311,0.65,7542,24667,0.55
"Florida - Private, nonprofit",2009-10,0.65,26266,17176,11445,0.65,7833,22870,0.53
"Florida - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,18897,N/A
"Florida - Private, for-profit",2015-16,N/A,N/A,N/A,20389,0.67,8042,18801,0.54
"Florida - Private, for-profit",2014-15,N/A,N/A,N/A,31112,0.57,7802,19216,0.54
"Florida - Private, for-profit",2013-14,N/A,N/A,N/A,34260,0.58,8067,17786,0.54
"Florida - Private, for-profit",2012-13,N/A,N/A,N/A,51970,0.76,7065,16751,0.59
"Florida - Private, for-profit",2011-12,N/A,N/A,N/A,59815,0.8,6960,16891,0.61
"Florida - Private, for-profit",2010-11,N/A,N/A,N/A,59391,0.79,8042,16260,0.63
"Florida - Private, for-profit",2009-10,N/A,N/A,N/A,87099,0.78,8505,17897,0.62
"Hawaii - Total",2016-17,0.49,25125,12311,N/A,N/A,N/A,8470,N/A
"Hawaii - Total",2015-16,0.5,26092,13046,1948,0.27,6135,7803,0.37
"Hawaii - Total",2014-15,0.5,23456,11661,2238,0.3,6141,7579,0.37
"Hawaii - Total",2013-14,0.47,24554,11512,2602,0.32,6087,7272,0.36
"Hawaii - Total",2012-13,0.47,22785,10749,2572,0.32,6422,6737,0.34
"Hawaii - Total",2011-12,N/A,N/A,N/A,2801,0.34,6218,6826,0.33
"Hawaii - Total",2010-11,N/A,N/A,N/A,2758,0.32,5902,6154,0.36
"Hawaii - Total",2009-10,0.38,15550,5868,2630,0.31,5950,5727,0.35
"Hawaii - Public",2016-17,0.45,24233,10905,N/A,N/A,N/A,6612,N/A
"Hawaii - Public",2015-16,0.47,24665,11593,1225,0.22,5961,6115,0.31
"Hawaii - Public",2014-15,0.48,22820,10954,1440,0.25,5660,5661,0.31
"Hawaii - Public",2013-14,0.45,24277,10925,1503,0.25,5813,5388,0.31
"Hawaii - Public",2012-13,0.46,21979,10179,1483,0.24,5749,5007,0.29
"Hawaii - Public",2011-12,0.44,19526,8539,1542,0.26,5619,4895,0.28
"Hawaii - Public",2010-11,0.4,17034,6892,1419,0.24,5281,4201,0.3
"Hawaii - Public",2009-10,0.38,15550,5868,1334,0.22,5062,3805,0.3
"Hawaii - Private, nonprofit",2016-17,0.61,27013,16478,N/A,N/A,N/A,16459,N/A
"Hawaii - Private, nonprofit",2015-16,0.59,29669,17505,612,0.47,6318,14988,0.51
"Hawaii - Private, nonprofit",2014-15,N/A,N/A,N/A,673,0.47,6878,14697,0.5
"Hawaii - Private, nonprofit",2013-14,N/A,N/A,N/A,784,0.54,5951,14323,0.47
"Hawaii - Private, nonprofit",2012-13,N/A,N/A,N/A,674,0.48,7261,13249,0.41
"Hawaii - Private, nonprofit",2011-12,0.5,30893,15447,823,0.55,6720,13035,0.42
"Hawaii - Private, nonprofit",2010-11,N/A,N/A,N/A,682,0.46,5925,11793,0.41
"Hawaii - Private, nonprofit",2009-10,N/A,N/A,N/A,453,0.38,6752,12511,0.43
"Hawaii - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,15694,N/A
"Hawaii - Private, for-profit",2015-16,N/A,N/A,N/A,111,0.61,7048,14538,0.65
"Hawaii - Private, for-profit",2014-15,N/A,N/A,N/A,125,0.5,7716,13234,0.6
"Hawaii - Private, for-profit",2013-14,N/A,N/A,N/A,315,0.62,7735,13438,0.58
"Hawaii - Private, for-profit",2012-13,N/A,N/A,N/A,415,0.71,7468,12862,0.57
"Hawaii - Private, for-profit",2011-12,N/A,N/A,N/A,436,0.59,7393,12897,0.61
"Hawaii - Private, for-profit",2010-11,N/A,N/A,N/A,657,0.64,7218,14205,0.6
"Hawaii - Private, for-profit",2009-10,N/A,N/A,N/A,843,0.64,6924,13402,0.53
"Iowa - Total",2016-17,0.63,29859,18811,N/A,N/A,N/A,13071,N/A
"Iowa - Total",2015-16,0.65,29801,19371,19598,0.58,6703,12637,0.53
"Iowa - Total",2014-15,0.66,29547,19386,20048,0.6,6593,12536,0.5
"Iowa - Total",2013-14,0.68,29732,20141,21653,0.61,6546,12001,0.47
"Iowa - Total",2012-13,0.69,29370,20401,24573,0.65,6428,11401,0.47
"Iowa - Total",2011-12,0.71,29456,20893,26122,0.66,6371,10803,0.5
"Iowa - Total",2010-11,0.72,28658,20580,26958,0.66,6258,10252,0.52
"Iowa - Total",2009-10,0.72,29635,21406,27588,0.66,6314,10314,0.53
"Iowa - Public",2016-17,0.57,27312,15568,N/A,N/A,N/A,6709,N/A
"Iowa - Public",2015-16,0.59,27575,16269,12823,0.52,5868,6267,0.49
"Iowa - Public",2014-15,0.61,27061,16379,12994,0.54,5746,6121,0.46
"Iowa - Public",2013-14,0.62,27523,17111,13616,0.55,5699,6026,0.43
"Iowa - Public",2012-13,0.64,27695,17826,14953,0.59,5634,5743,0.42
"Iowa - Public",2011-12,0.64,28073,17905,15480,0.59,5546,5519,0.45
"Iowa - Public",2010-11,0.65,27891,18056,15919,0.59,5467,5162,0.47
"Iowa - Public",2009-10,0.64,28108,18125,15588,0.59,5229,4837,0.48
"Iowa - Private, nonprofit",2016-17,0.75,33610,25208,N/A,N/A,N/A,32856,N/A
"Iowa - Private, nonprofit",2015-16,0.75,32724,24543,5827,0.72,8390,31954,0.63
