"Table generated on 04/16/2019"

Name,Year,"Percent of graduates with debt","Average debt of graduates","Per capita debt of graduates","Full-time freshmen who received any student loans (#)","% of full-time freshmen who received any student loans","Average amount of student loans received by full-time freshmen who borrowed","Tuition and fees (in-district/in-state)","Graduation rate (within 150% of normal time)"
"Kentucky - Total",2016-17,0.64,28447,18206,N/A,N/A,N/A,11942,N/A
"Kentucky - Total",2015-16,0.63,28910,18213,17420,0.5,6438,11313,0.43
"Kentucky - Total",2014-15,0.64,27225,17552,19143,0.53,6439,10798,0.42
"Kentucky - Total",2013-14,0.64,25939,16680,19852,0.55,6411,10345,0.41
"Kentucky - Total",2012-13,0.59,24693,14676,20935,0.56,6301,9822,0.41
"Kentucky - Total",2011-12,0.62,23785,14861,22287,0.61,5928,9327,0.41
"Kentucky - Total",2010-11,0.6,22287,13262,22279,0.57,6051,8876,0.42
"Kentucky - Total",2009-10,0.58,19374,11218,22254,0.55,6643,8366,0.42
"Kentucky - Public",2016-17,0.64,28697,18366,N/A,N/A,N/A,8322,N/A
"Kentucky - Public",2015-16,0.63,29619,18660,12189,0.45,6242,7835,0.41
"Kentucky - Public",2014-15,0.63,27689,17377,13184,0.48,6222,7533,0.4
"Kentucky - Public",2013-14,0.63,26486,16700,13613,0.5,6097,7098,0.39
"Kentucky - Public",2012-13,0.57,25036,14380,14376,0.51,6073,6720,0.38
"Kentucky - Public",2011-12,0.61,24196,14695,15180,0.56,5546,6354,0.38
"Kentucky - Public",2010-11,0.57,22119,12506,14050,0.5,5610,5962,0.39
"Kentucky - Public",2009-10,0.54,19255,10414,13401,0.47,5686,5639,0.38
"Kentucky - Private, nonprofit",2016-17,0.62,26889,16671,N/A,N/A,N/A,27466,N/A
"Kentucky - Private, nonprofit",2015-16,0.65,24629,16009,3723,0.63,6554,26353,0.5
"Kentucky - Private, nonprofit",2014-15,0.71,25613,18241,3965,0.65,6353,25108,0.49
"Kentucky - Private, nonprofit",2013-14,0.69,24139,16607,4123,0.67,6521,24079,0.5
"Kentucky - Private, nonprofit",2012-13,0.69,23267,16159,4406,0.71,6352,23060,0.5
"Kentucky - Private, nonprofit",2011-12,0.69,22421,15486,4389,0.7,5892,20705,0.51
"Kentucky - Private, nonprofit",2010-11,0.73,22880,16718,4457,0.7,5767,19762,0.5
