"Table generated on 04/16/2019"

Name,Year,"Percent of graduates with debt","Average debt of graduates","Per capita debt of graduates","Full-time freshmen who received any student loans (#)","% of full-time freshmen who received any student loans","Average amount of student loans received by full-time freshmen who borrowed","Tuition and fees (in-district/in-state)","Graduation rate (within 150% of normal time)"
"Mississippi - Total",2016-17,0.58,30439,17654,N/A,N/A,N/A,5691,N/A
"Mississippi - Total",2015-16,0.6,29384,17630,12546,0.41,6034,5457,0.41
"Mississippi - Total",2014-15,0.62,29942,18641,12850,0.42,6061,5254,0.39
"Mississippi - Total",2013-14,0.6,28314,17092,13261,0.41,6073,4908,0.36
"Mississippi - Total",2012-13,0.57,27571,15853,13840,0.42,5961,4518,0.34
"Mississippi - Total",2011-12,0.57,27322,15491,13327,0.4,5513,4200,0.36
"Mississippi - Total",2010-11,0.54,23697,12886,13791,0.4,5450,3920,0.36
"Mississippi - Total",2009-10,0.52,22155,11477,12815,0.39,5374,3614,0.35
"Mississippi - Public",2016-17,0.58,30561,17725,N/A,N/A,N/A,4845,N/A
"Mississippi - Public",2015-16,0.6,29586,17752,9713,0.36,5857,4615,0.38
"Mississippi - Public",2014-15,0.62,30150,18659,9883,0.37,5882,4350,0.37
"Mississippi - Public",2013-14,0.6,28367,17162,10554,0.37,5752,4091,0.33
"Mississippi - Public",2012-13,0.57,27222,15491,10894,0.38,5508,3730,0.32
"Mississippi - Public",2011-12,0.55,26552,14595,10845,0.37,5141,3462,0.33
"Mississippi - Public",2010-11,0.54,23641,12819,11577,0.38,5319,3176,0.34
"Mississippi - Public",2009-10,0.52,22006,11399,10114,0.35,5084,2848,0.33
"Mississippi - Private, nonprofit",2016-17,0.49,28988,14204,N/A,N/A,N/A,17511,N/A
"Mississippi - Private, nonprofit",2015-16,0.59,27496,16223,1122,0.66,5834,17398,0.5
"Mississippi - Private, nonprofit",2014-15,0.65,28328,18501,1140,0.64,6064,16632,0.5
"Mississippi - Private, nonprofit",2013-14,0.59,27887,16533,1047,0.63,5445,15220,0.48
"Mississippi - Private, nonprofit",2012-13,0.61,29691,18223,1051,0.63,5866,14786,0.48
"Mississippi - Private, nonprofit",2011-12,0.68,31254,21117,1010,0.62,5766,14805,0.54
"Mississippi - Private, nonprofit",2010-11,0.56,24211,13525,895,0.56,5399,14138,0.49
"Mississippi - Private, nonprofit",2009-10,N/A,N/A,N/A,1076,0.59,5279,13628,0.49
"Mississippi - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,14910,N/A
"Mississippi - Private, for-profit",2015-16,N/A,N/A,N/A,1711,0.86,7175,15333,0.67
"Mississippi - Private, for-profit",2014-15,N/A,N/A,N/A,1827,0.84,7027,14982,0.63
"Mississippi - Private, for-profit",2013-14,N/A,N/A,N/A,1660,0.76,8511,14858,0.69
"Mississippi - Private, for-profit",2012-13,N/A,N/A,N/A,1895,0.78,8618,16985,0.62
"Mississippi - Private, for-profit",2011-12,N/A,N/A,N/A,1472,0.67,8076,14284,0.63
"Mississippi - Private, for-profit",2010-11,N/A,N/A,N/A,1319,0.53,6642,15303,0.67
"Mississippi - Private, for-profit",2009-10,N/A,N/A,N/A,1625,0.66,7237,12558,0.61
"Montana - Total",2016-17,0.59,28466,16795,N/A,N/A,N/A,7888,N/A
"Montana - Total",2015-16,0.6,31065,18639,4015,0.49,6275,8036,0.44
"Montana - Total",2014-15,0.6,26280,15707,4316,0.52,6251,7641,0.41
"Montana - Total",2013-14,0.67,26946,17955,4255,0.52,6309,7376,0.43
"Montana - Total",2012-13,0.66,27568,18292,4400,0.53,6208,7411,0.45
"Montana - Total",2011-12,0.64,27475,17622,4675,0.55,5983,6937,0.45
"Montana - Total",2010-11,0.65,24113,15658,4966,0.56,5924,6531,0.47
"Montana - Total",2009-10,0.65,22768,14858,4337,0.53,5941,6198,0.44
"Montana - Public",2016-17,0.57,28137,16038,N/A,N/A,N/A,5950,N/A
"Montana - Public",2015-16,0.58,30954,17953,3239,0.48,6065,5865,0.41
"Montana - Public",2014-15,0.58,25983,15144,3471,0.5,6133,5791,0.39
"Montana - Public",2013-14,0.66,27049,17762,3414,0.5,6081,5659,0.4
"Montana - Public",2012-13,0.65,28030,18253,3536,0.52,6095,5570,0.43
"Montana - Public",2011-12,0.62,27401,17092,3872,0.55,5861,5366,0.43
"Montana - Public",2010-11,0.64,23714,15226,4134,0.56,5754,5103,0.44
"Montana - Public",2009-10,0.64,22489,14496,3693,0.53,5708,4902,0.41
"Montana - Private, nonprofit",2016-17,0.69,30434,21000,N/A,N/A,N/A,23707,N/A
"Montana - Private, nonprofit",2015-16,0.71,31585,22425,531,0.54,7152,22695,0.5
"Montana - Private, nonprofit",2014-15,0.7,27997,19612,535,0.57,7253,21158,0.47
"Montana - Private, nonprofit",2013-14,0.74,26280,19351,532,0.59,7959,20265,0.47
"Montana - Private, nonprofit",2012-13,0.75,24708,18567,542,0.57,7089,20264,0.48
"Montana - Private, nonprofit",2011-12,0.76,27895,21334,513,0.55,7016,18988,0.46
"Montana - Private, nonprofit",2010-11,0.73,28123,20615,572,0.56,6871,17169,0.46
"Montana - Private, nonprofit",2009-10,0.75,25643,19171,498,0.54,7556,16121,0.47
"Montana - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Montana - Private, for-profit",2015-16,N/A,N/A,N/A,245,0.58,7150,N/A,0.76
"Montana - Private, for-profit",2014-15,N/A,N/A,N/A,310,0.6,5854,N/A,0.61
"Montana - Private, for-profit",2013-14,N/A,N/A,N/A,309,0.59,5978,N/A,0.72
"Montana - Private, for-profit",2012-13,N/A,N/A,N/A,322,0.56,5968,N/A,0.86
"Montana - Private, for-profit",2011-12,N/A,N/A,N/A,290,0.56,5785,N/A,0.84
"Montana - Private, for-profit",2010-11,N/A,N/A,N/A,260,0.5,6543,N/A,0.81
"Montana - Private, for-profit",2009-10,N/A,N/A,N/A,146,0.36,6310,N/A,0.85
"North Carolina - Total",2016-17,0.57,26526,15120,N/A,N/A,N/A,12172,N/A
"North Carolina - Total",2015-16,0.58,25562,14826,34529,0.46,6913,11769,0.48
"North Carolina - Total",2014-15,0.62,25734,15911,36123,0.47,7186,11178,0.47
"North Carolina - Total",2013-14,0.61,25263,15457,37473,0.48,6971,10590,0.47
"North Carolina - Total",2012-13,0.61,24319,14924,37990,0.48,6795,9667,0.47
"North Carolina - Total",2011-12,0.59,23891,14140,38345,0.49,6380,9333,0.46
"North Carolina - Total",2010-11,0.56,20765,11541,37040,0.47,6178,8654,0.47
"North Carolina - Total",2009-10,0.53,20959,11122,36051,0.44,6506,7854,0.47
"North Carolina - Public",2016-17,0.61,25575,15601,N/A,N/A,N/A,5460,N/A
"North Carolina - Public",2015-16,0.6,24810,14886,20370,0.39,6214,5216,0.45
"North Carolina - Public",2014-15,0.63,24816,15523,21313,0.39,6293,4938,0.44
"North Carolina - Public",2013-14,0.62,24415,15053,22210,0.4,6152,4747,0.43
"North Carolina - Public",2012-13,0.61,23440,14362,23022,0.41,5996,4493,0.42
"North Carolina - Public",2011-12,0.59,22779,13415,22468,0.41,5628,4193,0.42
"North Carolina - Public",2010-11,0.53,18750,9867,20433,0.36,5429,3759,0.43
"North Carolina - Public",2009-10,0.5,18845,9493,19290,0.34,5199,3252,0.44
"North Carolina - Private, nonprofit",2016-17,0.49,29837,14620,N/A,N/A,N/A,32391,N/A
"North Carolina - Private, nonprofit",2015-16,0.51,27929,14244,10888,0.62,7422,31373,0.58
