"Table generated on 04/16/2019"

Name,Year,"Percent of graduates with debt","Average debt of graduates","Per capita debt of graduates","Full-time freshmen who received any student loans (#)","% of full-time freshmen who received any student loans","Average amount of student loans received by full-time freshmen who borrowed","Tuition and fees (in-district/in-state)","Graduation rate (within 150% of normal time)"
"Nevada - Total",2016-17,0.49,22064,10812,N/A,N/A,N/A,6267,N/A
"Nevada - Total",2015-16,0.52,24128,12547,8279,0.48,6527,6285,0.45
"Nevada - Total",2014-15,0.47,23462,11133,8089,0.48,6604,6130,0.44
"Nevada - Total",2013-14,0.46,20217,9300,8162,0.51,7222,6367,0.43
"Nevada - Total",2012-13,0.43,21665,9321,7577,0.48,7069,6240,0.45
"Nevada - Total",2011-12,0.41,20568,8343,9313,0.61,6809,5933,0.46
"Nevada - Total",2010-11,0.44,19954,8794,9579,0.57,6666,5706,0.45
"Nevada - Total",2009-10,0.39,16622,6403,10459,0.53,7128,5304,0.44
"Nevada - Public",2016-17,0.49,22064,10812,N/A,N/A,N/A,5801,N/A
"Nevada - Public",2015-16,0.52,24128,12547,3258,0.3,5618,5697,0.35
"Nevada - Public",2014-15,0.47,23462,11133,3301,0.31,5977,5388,0.34
"Nevada - Public",2013-14,0.46,20217,9300,3215,0.33,6762,5437,0.35
"Nevada - Public",2012-13,0.43,21575,9258,2762,0.3,7122,5262,0.35
"Nevada - Public",2011-12,0.4,20442,8261,3974,0.46,6423,4792,0.35
"Nevada - Public",2010-11,0.44,20037,8792,3638,0.39,5578,4362,0.36
"Nevada - Public",2009-10,0.38,16672,6409,2420,0.25,5685,3699,0.35
"Nevada - Private, nonprofit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,29505,N/A
"Nevada - Private, nonprofit",2015-16,N/A,N/A,N/A,236,0.93,8024,26822,0.47
"Nevada - Private, nonprofit",2014-15,N/A,N/A,N/A,187,0.93,6597,29159,0.54
"Nevada - Private, nonprofit",2013-14,N/A,N/A,N/A,110,0.84,6196,28483,0.36
"Nevada - Private, nonprofit",2012-13,0.5,26368,13184,100,0.82,7290,27654,0.71
"Nevada - Private, nonprofit",2011-12,N/A,N/A,N/A,180,0.83,7641,25370,0.46
"Nevada - Private, nonprofit",2010-11,N/A,N/A,N/A,187,0.85,5590,24515,0.39
"Nevada - Private, nonprofit",2009-10,N/A,N/A,N/A,194,0.84,6817,23258,0.51
"Nevada - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,17796,N/A
"Nevada - Private, for-profit",2015-16,N/A,N/A,N/A,4785,0.76,7072,16964,0.59
"Nevada - Private, for-profit",2014-15,N/A,N/A,N/A,4601,0.77,7054,16207,0.57
"Nevada - Private, for-profit",2013-14,N/A,N/A,N/A,4837,0.77,7552,14325,0.54
"Nevada - Private, for-profit",2012-13,N/A,N/A,N/A,4715,0.72,7033,14027,0.57
"Nevada - Private, for-profit",2011-12,N/A,N/A,N/A,5159,0.81,7078,15546,0.58
"Nevada - Private, for-profit",2010-11,N/A,N/A,N/A,5754,0.79,7389,16433,0.55
"Nevada - Private, for-profit",2009-10,N/A,N/A,N/A,7845,0.8,7581,19414,0.56
"New York - Total",2016-17,0.6,30931,18558,N/A,N/A,N/A,19676,N/A
"New York - Total",2015-16,0.58,30346,17601,86242,0.44,7075,18801,0.52
"New York - Total",2014-15,0.59,29320,17419,90797,0.45,6867,17919,0.51
"New York - Total",2013-14,0.61,27822,17109,92663,0.46,7006,17173,0.5
"New York - Total",2012-13,0.6,26371,15831,95530,0.47,6770,16368,0.49
"New York - Total",2011-12,0.6,25686,15364,106621,0.5,6512,15560,0.49
"New York - Total",2010-11,0.6,25764,15400,109552,0.49,6248,14762,0.49
"New York - Total",2009-10,0.61,26360,16166,112568,0.5,6186,14049,0.49
"New York - Public",2016-17,0.54,26380,14245,N/A,N/A,N/A,6436,N/A
"New York - Public",2015-16,0.58,25997,15078,36377,0.34,6033,6253,0.4
"New York - Public",2014-15,0.52,24307,12671,37860,0.35,5848,5939,0.38
"New York - Public",2013-14,0.54,23774,12876,37194,0.34,5950,5642,0.37
"New York - Public",2012-13,0.55,21720,12019,38133,0.35,5760,5346,0.36
"New York - Public",2011-12,0.55,20875,11448,41581,0.37,5398,5048,0.36
"New York - Public",2010-11,0.54,20561,11043,41386,0.37,5170,4682,0.36
"New York - Public",2009-10,0.55,21706,11890,43319,0.38,5018,4610,0.35
"New York - Private, nonprofit",2016-17,0.63,33569,21149,N/A,N/A,N/A,39769,N/A
"New York - Private, nonprofit",2015-16,0.58,32688,18959,36878,0.53,8096,38371,0.69
"New York - Private, nonprofit",2014-15,0.66,32854,21650,36990,0.54,7934,37065,0.68
"New York - Private, nonprofit",2013-14,0.67,30268,20272,37920,0.54,8067,35514,0.68
"New York - Private, nonprofit",2012-13,0.65,30371,19668,39068,0.55,7798,33885,0.67
"New York - Private, nonprofit",2011-12,0.65,30228,19773,41479,0.58,7403,32346,0.67
"New York - Private, nonprofit",2010-11,0.66,30015,19764,42031,0.59,6936,30922,0.66
"New York - Private, nonprofit",2009-10,0.67,29737,19970,41349,0.59,7278,29704,0.67
"New York - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,18659,N/A
"New York - Private, for-profit",2015-16,N/A,N/A,N/A,12987,0.65,7094,17883,0.62
"New York - Private, for-profit",2014-15,N/A,N/A,N/A,15947,0.66,6809,17254,0.6
"New York - Private, for-profit",2013-14,N/A,N/A,N/A,17549,0.69,6954,16747,0.6
"New York - Private, for-profit",2012-13,N/A,N/A,N/A,18329,0.7,6682,16131,0.59
"New York - Private, for-profit",2011-12,N/A,N/A,N/A,23561,0.72,6911,15863,0.58
"New York - Private, for-profit",2010-11,N/A,N/A,N/A,26135,0.68,6848,15698,0.58
"New York - Private, for-profit",2009-10,N/A,N/A,N/A,27900,0.71,6382,15352,0.58
"Ohio - Total",2016-17,0.62,30629,18990,N/A,N/A,N/A,14674,N/A
"Ohio - Total",2015-16,0.64,30351,19425,58256,0.6,6971,14719,0.5
"Ohio - Total",2014-15,0.66,30239,19989,62368,0.61,6956,14358,0.5
"Ohio - Total",2013-14,0.67,29353,19542,67523,0.63,6984,13901,0.5
"Ohio - Total",2012-13,0.68,29090,19648,71031,0.65,7004,13408,0.5
"Ohio - Total",2011-12,0.69,29037,19957,75659,0.66,6606,12488,0.5
"Ohio - Total",2010-11,0.68,28459,19451,81728,0.66,6606,11886,0.51
"Ohio - Total",2009-10,0.68,27714,18933,81512,0.63,6662,11262,0.51
"Ohio - Public",2016-17,0.62,29465,18268,N/A,N/A,N/A,8522,N/A
"Ohio - Public",2015-16,0.64,29651,18977,36133,0.54,6382,8558,0.46
"Ohio - Public",2014-15,0.65,29436,19095,37878,0.56,6400,8307,0.46
"Ohio - Public",2013-14,0.65,28146,18263,40915,0.58,6297,8070,0.45
"Ohio - Public",2012-13,0.65,28010,18342,43631,0.6,6355,7849,0.44
"Ohio - Public",2011-12,0.68,27990,18900,47481,0.62,6048,7446,0.44
"Ohio - Public",2010-11,0.66,26881,17708,48918,0.59,5915,6980,0.45
"Ohio - Public",2009-10,0.66,26175,17252,47621,0.57,5852,6523,0.45
"Ohio - Private, nonprofit",2016-17,0.63,34025,21436,N/A,N/A,N/A,32661,N/A
"Ohio - Private, nonprofit",2015-16,0.64,32574,20848,16005,0.69,7950,31814,0.63
"Ohio - Private, nonprofit",2014-15,0.7,32532,22739,16516,0.7,7956,30855,0.63
"Ohio - Private, nonprofit",2013-14,0.72,32679,23434,17258,0.73,7978,30214,0.63
"Ohio - Private, nonprofit",2012-13,0.74,32101,23768,17861,0.74,8190,29027,0.64
"Ohio - Private, nonprofit",2011-12,0.73,32389,23616,17924,0.76,7502,27676,0.65
"Ohio - Private, nonprofit",2010-11,0.75,32210,24171,17867,0.74,7384,26954,0.65
"Ohio - Private, nonprofit",2009-10,0.74,31183,23215,17031,0.73,7648,25722,0.64
"Ohio - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,15347,N/A
"Ohio - Private, for-profit",2015-16,N/A,N/A,N/A,6118,0.78,7894,15593,0.52
"Ohio - Private, for-profit",2014-15,N/A,N/A,N/A,7974,0.75,7525,15242,0.51
"Ohio - Private, for-profit",2013-14,N/A,N/A,N/A,9350,0.76,8154,14623,0.56
