"Table generated on 04/16/2019"

Name,Year,"Percent of graduates with debt","Average debt of graduates","Per capita debt of graduates","Full-time freshmen who received any student loans (#)","% of full-time freshmen who received any student loans","Average amount of student loans received by full-time freshmen who borrowed","Tuition and fees (in-district/in-state)","Graduation rate (within 150% of normal time)"
"Tennessee - Total",2016-17,0.56,25252,14141,N/A,N/A,N/A,12169,N/A
"Tennessee - Total",2015-16,0.6,26981,16189,23190,0.35,6091,11605,0.48
"Tennessee - Total",2014-15,0.6,26083,15646,24645,0.4,6583,12237,0.46
"Tennessee - Total",2013-14,0.6,25510,15223,25289,0.42,6507,11866,0.46
"Tennessee - Total",2012-13,0.57,24585,14077,27923,0.45,6426,11247,0.46
"Tennessee - Total",2011-12,0.58,21775,12614,28557,0.43,6023,10396,0.44
"Tennessee - Total",2010-11,0.53,20335,10855,30906,0.44,6198,9646,0.47
"Tennessee - Total",2009-10,0.53,19308,10205,33229,0.44,6403,9113,0.46
"Tennessee - Public",2016-17,0.58,23769,13786,N/A,N/A,N/A,6843,N/A
"Tennessee - Public",2015-16,0.64,26209,16774,11871,0.25,5383,6504,0.43
"Tennessee - Public",2014-15,0.61,25598,15592,12397,0.3,5726,6820,0.42
"Tennessee - Public",2013-14,0.6,25133,15121,12363,0.3,5511,6429,0.41
"Tennessee - Public",2012-13,0.58,24016,13984,13173,0.33,5428,5937,0.39
"Tennessee - Public",2011-12,0.58,21064,12175,13608,0.31,5121,5497,0.35
"Tennessee - Public",2010-11,0.51,19702,10019,14162,0.31,5135,4997,0.4
"Tennessee - Public",2009-10,0.49,17694,8671,12671,0.28,5139,4640,0.39
"Tennessee - Private, nonprofit",2016-17,0.52,28079,14601,N/A,N/A,N/A,28136,N/A
"Tennessee - Private, nonprofit",2015-16,0.51,28820,14698,6554,0.54,6269,27222,0.59
"Tennessee - Private, nonprofit",2014-15,0.58,27222,15767,6879,0.56,7056,26316,0.58
"Tennessee - Private, nonprofit",2013-14,0.59,26280,15427,7262,0.58,6910,25385,0.59
